category	subCategory	name	scientificName	latinName	tradeMarkName	ingredientProductTypes	amount	potency	cost	suggestedOverage	gummyOverage	primary	secondary	tertiary	manufacturingCountry	originCountry	shelfLife	bulkDensity	tappedDensity	avergageParticleSize	lossOnDrying	arsenic	cadmium	lead	mercury	celery	custaceans	egg	fish	gluten	lupin	milk	molluscs	mustard	peanut	sesameSeeds	shellfish	soy	sulphites	treeNuts	wheat	vegan	non_gmo	kosher	gluten_Free	organic	moisture	calories	protein	carbohydrates	dietaryFiber	totalSugars	addedSugar	totalFat	saturatedFat	monounsaturatedFat	polyunsaturatedFat	transFat	cholesterol	sodium	vitaminA	vitaminC	vitaminD	vitaminE	vitamink	vitaminK2	thiamin	riboflavin	niacin	vitaminB6	folicAcid	vitaminB12	biotin	pantothenicAcid	choline	calcium	iron	phosphorus	iodine	magnesium	zinc	selenium	copper	manganese	chromium	molybdenum	chloride	potassium	boron
Vegetables	Immune Health	Broccoli Extract 4:1	Brassica Oleracea	Broccoli Extract 4:1 (Brassica oOleracea)		C,T,P,G	1	1	12	0.98	0.95					China	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Vegetables	Immune Health	Broccoli Juice Powder	Brassica Oleracea Varitalica	Broccoli Juice Powder (Brassica oleracea varitalica)		C,T,P,G	1	1	7	1	1					China	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Vegetables	Immune Health	Broccoli Powder	Brassica Oleracea	Broccoli Powder (Brassica oleracea)		C,T,P,G	1	1	6.1	1	1					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Vegetables	Immune Health	Broccoli Powder (Powder Application)	Brassica Oleracea Varitalica	Broccoli Powder (Brassica oleracea varitalica)		P	100	1	7.93	1						China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F							458	36	73	27	18.2		4.6					0	727																552	10												
Vegetables	Immune Health	Broccoli Powder, Organic	Brassica Oleracea	Organic Broccoli Powder (Brassica oleracea)		C,T,P,G	1	1	7.7	1	1					China	36									T		F	F		F	F		T	F	T	F	F		T	T																																																
Vegetables	Anti-Inflammatory	Broccoli Seed Extract 10% Glucoraphanin	Brassica Oleracea	Broccoli Seed Extract (Brassica oleracea) (std. to 10% Glucoraphanin)		C,T,P	1	0.1	315	0.98						China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F			Y																																													
Herbs	Immune Health	Broccoli Seed Extract Glucoraphanin 13.5% + Sulforaphane 1%	Brassica Oleracea Italica	Broccoli Seed Extract (Brassica oleracea Italica) (std. to 13.5% Glucoraphanin + 1% Sulforaphane)		C,T,P,G	1	0.135	849.99	0.98						China	18									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Immune Health	Broccoli Seed Extract Microencapsulated Sulforaphane 1% Powder	Brassica Oleracea Italica	Broccoli Seed Extract (Brassica oleracea Italica) (std. to 1% Sulforaphane)		C,T,P,G	1	0.01	479.99	0.98	0.95					China	18									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Immune Health	Broccoli Seed Extract Sulforaphane 0.4% Powder	Brassica Oleracea Italica	Broccoli Seed Extract (Brassica oleracea italica) (std. to 0.4% Sulforaphane )		C,T,P,G	1	0.04	169.99	0.98	0.95					China	18									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Immune Health	Broccoli Seed Extract Sulforaphane 1%	Brassica Oleracea Italica	Broccoli Seed Extract (Brassica oleracea italica) (std. to 1% Sulforaphane)		C,T,P,G	1	0.01	369.99	0.98	0.95					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T																																																
Herbs	Immune Health	Broccoli Seed Extract Sulforaphane 10% Oil Liquid	Brassica Oleracea Italica	Broccoli Seed Extract (Brassica oleracea italica) (std. to 10% Sulforaphane)		C,T,P	1	0.1	439.99	0.98						China	18									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Immune Health	Broccoli Seed Extract Sulforaphane 2%	Brassica Oleracea Italica	Broccoli Seed Extract (Brassica oleracea Iitalica) (std. to 2% Sulforaphane)		C,T,P,G	1	0.02	829.99	0.98	0.95					China	18									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Immune Health	Broccoli Seed Extract Sulforaphane 95% Oil Liquid	Brassica Oleracea Italica	Broccoli Seed Extract (Brassica oleracea italica) (std. to 95% Sulforaphane )		C,T,P	1	0.95	1999.99	0.98						China	18									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Immune Health	Broccoli Seed Oil	Brassica Oleracea	Broccoli Seed Oil (Brassica oleracea)		C	1	1	98	1						United States	24									F	F	F	F	F	F	F			F	F	F	F	F	F	F																																																
Specialty	Anti-Inflammatory	Bromelain 1200 GDU/G	Ananas Comosus	Bromelain 1200 GDU/G (from Pineapple) (Ananas Comosus)		C,T,P,G	1	1	95.5	0.9	0.9					China	12									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Specialty	Anti-Inflammatory	Bromelain 2500 GDU	Ananas Comosus	Bromelain 1200 GDU/G (from Pineapple) (Ananas Comosus)		C,T,P,G	1	1	60	0.9	0.9					India	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Specialty	Anti-Inflammatory	Bromelain 600 GDU	Ananas Comosus	Bromelain 600 GDU (from Pineapple) (Ananas Comosus)		C,T,P,G	1	1	25	0.9	0.9					India	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Digestive Health	Burdock Root Extract 4:1	Arctium Lappa L.	Burdock Root Extract 4:1 (Arctium lappa)		C,T,P,G	1	1	10	0.98	0.95					China	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Digestive Health	Burdock Root Powder (Organic)	Arctium Lappa L.	Organic Burdock Root Powder (Arctium lappa)		C,T,P,G	1	1	10.55	1	1					China	36									F		F	F		F	F		F	F	F	F	F	F	F	F																																																
Herbs	Diet	Butterfly Pea Flower Powder	Clitoria Ternatea	Butterfly Pea Flower (Clitoria Ternatea) Powder		C,T,P,G	1	1	30	1	1					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Anti-Inflammatory	Cabbage Powder	Brassica Oleracea	Cabbage Powder (Brassica oleracea)		C,T,P,G	1	1	7	1	1					India	24									F	F	F	F	F	F	F	F	F	F	F		F	F	F																																																	
Vegetables	Anti-Inflammatory	Cabbage Powder (Powder Applications)	Brassica Oleracea Var. Capitata	Cabbage Powder (Brassica oleracea)		P	1	1	4.24	1						China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Specialty	Vitality	Cacao Powder Natural (Organic)	Theobroma Cacao	Organic Cacao Powder		p	100	1	10.28	1						Peru	12									F		F	F	F	F	F	F	F	F	F	F	F	F	F	F			Y				418	28	52	32	2	0	11	7			0	0		0	0	0													165	14											1789	
Specialty	Energy	Caffeine Anhydrous	1,3,7-Trimethylpurine-2,6-dione	Caffeine Anhydrous		C,T,P,G	1	0.985	17.5	1	1					China	12									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Specialty	Energy	Caffeine Anhydrous (From Coffee)	Coffee Arabica	Caffeine Anhydrous [from Coffee (coffee arabica)]		C,T,P,G	1	0.985	76	1	1					India	60									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Specialty	Energy	Caffeine Anhydrous (From Tea)	Camellia Sinensis	Caffeine Anhydrous [from Tea (camellia sinensis)]		C,T,P,G	1	0.985	86	1	1					India	60									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Specialty	Energy	Caffeine Anhydrous 20 Mesh	1,3,7-Trimethylpurine-2,6-dione	Caffeine Anhydrous		C,T,P,G	1	0.985	16	1	1					China	48									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Specialty	Energy	Caffeine Anhydrous Synthetic 40 Mesh	1,3,7-Trimethylpurine-2,6-dione	Caffeine Anhydrous		C,T,P,G	1	0.985	18	1	1					China	24										F	F	F			F			F	F	F	F	N//A	F	F																																																
Minerals	Bone Health	Calcium (TriCalcium Phosphate)	tricalcium bis(phosphate)	Calcium (as TriCalcium Phosphate)		C,T,P,G	1	0.4	3.1	0.98	0.95					India	36									F			F	F		F		F		F		F	F	F																																																	
Minerals	Bone Health	Calcium (TriCalcium Phosphate) Food Grade	tricalcium bis(phosphate)	Calcium (as TriCalcium Phosphate)		C,T,P,G	1	0.4	3.04	0.98	0.95					United States	36										F	F	F			F			F		F	F		F	F																																																
Minerals	Bone Health	Calcium 3-hydroxybutyrate (15% Ca)	Calcium 3-Hydroxybutyrate Dihydrate	Calcium (from Calcium β-Hydroxybutyrate)		C,T,P,G	1	0.15	10	0.98	0.95					China	24									F	F	F	F	F	F	F	F	F	F	F		F		F																																																	
Minerals	Bone Health	Calcium 4-Methyl-2-Oxovalerate Dihydrate	Calcium 4-Methyl-2-Oxovalerate Dihydrate	Calcium (from Calcium α-Ketoisocaproic acid)		C,T,P,G	1	0.13	188	0.98	0.95					China	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Minerals	Bone Health	Calcium Ascorbate	Calcium L-ascorbate dihydrate	Calcium (as Calcium Ascorbate)		C,T,P,G	1	0.98	7.8	0.98	0.95					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Minerals	Bone Health	Calcium Ascorbate 97% DC	Calcium L-ascorbate dihydrate	Calcium (as Calcium Ascorbate)		C,T,P,G	1	0.97	8	0.98	0.95					China	18									F	F	F	F		F	F	F	F	F	F		F	F	F	F																																																
Minerals	Bone Health	Calcium Bisglycinate 19% Ca	Calcium Bisglycinate	Calcium (as Calcium Bisglycinate)		C,T,P,G	1	0.19	15	0.98	0.95					China	24										T	T	T	T	T	T		T	T	T	T	T	T	T	T																																																
Minerals	Bone Health	Calcium Borogluconate (Ca 8%)	Calcium Borogluconate	Calcium (as Calcium Borogluconate)		C,T,P,G	1	0.08	20	0.98	0.95					United States	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Minerals	Bone Health	Calcium Carbonate	Calcium Carbonate	Calcium (as Calcium Carbonate)	PureCal Nutra 15 Calcium Carbonate	C,T,P,G	1	0.36	3.9	0.98	0.95					United States											F	F	F	F		F			F		F	F	F	F	F	Y	Y	Y																																													
Minerals	Bone Health	Calcium Carbonate DC95 (36% Ca)	Calcium Carbonate	Calcium (as Calcium Carbonate)		C,T,P,G	1	0.36	3.9	0.98	0.95					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Minerals	Bone Health	Calcium Carbonate Granular DC from Oyster Shell	Calcium Carbonate	Calcium [as Calcium Carbonate (from Oyster Shell)]		C,T,P,G	1	0.36	4.9	0.98	0.95					China	24									F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F																																																
Minerals	Bone Health	Calcium Caseinates	Calcium Caseinates	Calcium (as Calcium Caseinates)		P	1	0.98	20.3	0.98						India	24									F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F																																																
Minerals	Bone Health	Calcium Citrate DC 97 Granular (20% Ca)	Calcium Citrate	Calcium (as Calcium Citrate)		C,T,P,G	1	0.2	6	0.98	0.95					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T																																																
Minerals	Bone Health	Calcium Citrate Malate USP (23% Ca)	Calcium Citrate	Calcium (as Calcium Citrate Malate)		C,T,P,G	1	0.23	6.89	0.98	0.95					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Minerals	Bone Health	Calcium Citrate Powder	Calcium Citrate	Calcium (as Calcium Citrate)		C,T,P,G	1	0.23	6	0.98	0.95					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Minerals	Bone Health	Calcium Citrate Powder 100 Mesh	Calcium Citrate	Calcium (as Calcium Citrate)		C,T,P,G	1	0.23	10	0.98	0.95					South Korea	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Minerals	Bone Health	Calcium D Saccharate USP	Calcium D Saccharate	Calcium (as Calcium D-Saccharate)		C,T,P,G	1	0.98	70	0.98	0.95					India	36											F	F			F			F	F	F	F		F	F																																																
Minerals	Bone Health	Calcium Glycinate	Calcium Glycinate (Ca 19.1%)	Calcium (as Calcium Glycinate)		C,T,P,G	1	0.191	13	0.98	0.95					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Minerals	Bone Health	Calcium Glycinate TRIT (Ca 13%) Chelamax	Calcium Glycinate	Calcium (as Calcium Glycinate)		C,T,P,G	1	0.13	26	0.98	0.95					United States	48									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Minerals	Muscle Health	Calcium HMB (13.6% Ca)	Calcium Beta-hydroxy-beta-methylbutyrate (HMB-Ca)	Calcium (as Calcium β-Hydroxy β-Methylbutyrate Monohydrate)		C,T,P,G	1	0.136	24	0.98	0.95					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Minerals	Bone Health	Calcium Lactate	L-Calcium Lactate	L-Calcium Lactate		C,T,P,G	1	0.13	6.5	0.98	0.9					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F			Y																																													
Minerals	Bone Health	Calcium Propionate (Granular)	Calcium Propionate	Calcium (as Calcium Propionate)		C,T,P,G	1	0.98	4.5	0.98	0.95					India	12																																																																								
Minerals	Bone Health	Calcium Pyruvate	Calcium Pyruvate	Calcium (as Calcium Pyruvate)		C,T,P,G	1	0.15	18.65	0.98	0.95					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Sleep	California Poppy Extract 0.2% Alkaloids	Papaveraceae Eschscholzia Californica Cham.	California Poppy Extract (Papaveraceae eschscholzia californica cham.) (std. to 0.2% Alkaloids)		C,T,P,G	1	0.002	141.34	0.98	1					France	24									F	F	F	F	F	F	F	F	F	F	F		F	F	F																																																	
Herbs	Antioxidant	Camu Camu Powder (Organic)	Myrciaria Dubia	Organic Camu Camu Powder (Myrciaria dubia)		C,T,P,G	100	1	29.01	1	1					Peru	12				8					F		F	F	F	F	F	F	F	F	F	F	F	F	F	F			Y				350	2.8	93	6	4.3	0	2.6	0			0	0	11.1	0	3980	0													15.7	0.5			12								83.8	
Fruits	General Health	Cantaloupe Powder	Cucumis Melo Var. Saccharinus	Cantaloupe Powder (Cucumis melo var. saccharinus) (Fruit)		P,G	1	1	12	1	0.95					China	24																																																																								
Herbs	Diet	Capsaicin 1% Beadlets	Capsicum Annuum	Capsicum Annuum (std. to 1% Capsaicin)		C,T,P,G	1	0.01	28	0.98	0.95					India	36									F		F	F	F		F	F		F	F	F	F	F	F	F																																																
Herbs	Diet	Caralluma Fimbriata Extract 20% Pregnane Glycosides	Caralluma Fimbriata	Caralluma Fimbriata Extract (std. to 20% Pregnane Glycosides)		C,T,P,G	1	0.2	17	0.98	1					India	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Digestive Health	Caraway Seed Ground	Carum Carvi	Caraway Seed (Carum carvi)		C,T,P,G	1	1	4.25	1	1					Canada	36									F		F	F		F	F		F	F	F	F	F	F	F	F																																																
Herbs	Immune Health	Cardamom Pods	Elettaria Cardamomum	Cardamom Pods (Elettaria cardamomum)		P	1	1	20	1						Guatemala	36									F		F	F		F	F		F	F	F	F	F	F	F	F																																																
Herbs	Brain Health	Carnosic Acid 10% Powder	Rosemarinus Officinalis L.	Rosemary Powder (std. to 10% Carnosic Acid)		C,T,P,G	1	0.1	31.6	0.98	0.95					China	12									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Brain Health	Carnosic Acid 20% Powder	Rosemarinus Officinalis L.	Rosemary Powder (std. to 20% Carnosic Acid)		C,T,P,G	1	0.2	59	0.98	0.95					China	12									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Legumes	Digestive Health	Carob Powder FM-20	Ceratonia Siliqua	Carob (Ceratonia siliqua)		P	100	1	3	1						United States	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F								4.6	89	44	49	0	0.7	0	0	0	0		35				0.6					1.9	0.4		0				348	2.9					12						827	
Legumes	Digestive Health	Carob Powder FM-40 (Organic)	Ceratonia Siliqua	Organic Carob (Ceratonia siliqua)		P	1	1	4.24	1						Spain	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Legumes	Digestive Health	Carob Powder FM-80	Ceratonia Siliqua	Carob (Ceratonia siliqua)		P	1	1	2.78	1						United States	24									F		F	F		F	F		F	F	F	F	F	F	F	F																																																
Vegetables	Eye Health	Carrot Granules 8-40 Mesh	Caucus Carota	Carrot (Caucus carota)		P	1	1	4.74	1						China	18									T	F	T	F	T	F	F	F	F	F	T	F	T	T	T	T																																																
Vegetables	Eye Health	Carrot Powder	Caucus Carota	Carrot Powder (Caucus carota)		P,G	1	1	7	1	1					India	24									F	F	F	F	F	F	F	F	F	F	F		F	F	F																																																	
Vegetables	Eye Health	Carrot Powder 40 Mesh	Caucus Carota	Carrot Powder (Caucus carota)		C,T,P,G	1	1	4.9	1	1					Poland	18									T	F	T	F	T	F	F	F	F	F	T	F	T	T	T	T																																																
Vegetables	Eye Health	Carrot Powder 60 Mesh	Caucus Carota	Carrot Powder (Caucus carota)		P	100	1	4.29	1						China	18									T	F	T	F	T	F	F	F	F	F	T	F	T	T	T	T							326	7.4	76	22	38	0	1.9	0.3	0.1	0.9		0	548		47	0	5.2			0.5	0.5	1.8	1.1		0				262	2.4			95	2							2541	
Herbs	Digestive Health	Cascara Sagrada Bark C/S	Rhamnus Purshiana	Cascara Sagrada Bark (Rhamnus purshiana)		C,T,P,G	1	1	9.35	1	1					United States	36									F		F	F		F	F		F	F	F	F	F	F	F	F																																																
Herbs	Stress	Catnip Herb, Tea Bag Cut (Organic)	Nepeta Cataria	Organic Catnip Herb (Nepeta cataria)		P	1	1	14.6	1						United States	36									F		F	F		F	F		F	F	F	F	F	F	F	F																																																
Herbs	Anti-Inflammatory	Cat's Claw Bark Extract 3% Alkaloids (UV)	Uncaria Tomentosa	Cat's Claw Extract (Uncaria tomentosa) (Bark) (std. to 3% Alkaloids)		C,T,P,G	1	0.03	151.91	0.98	0.95					Spain	24									F	F	F	F	F	F	F	F	F	F	F		F	F	F																																																	
Herbs	Anti-Inflammatory	Cats Claw Bark Powder	Uncaria Tomentosa	Cat's Claw Powder (Uncaria tomentosa) (Bark)		C,T,P,G	1	1	11.39	1	1					Brazil	24										F	F	F			F			F	F	F	F		F	F																																																
Vegetables	Fiber	Cauliflower Powder	Brassica Oleracea Var. Botrytis	Cauliflower Powder (Brassica oleracea var. botrytis)		P	100	1	7.28	1						China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F							306	24	61	24	23	0	3.4	1.6					366		590		1			0.6	0.7	6	2.3						11.9	269			5	3.6	54						537	
Vegetables	Fiber	Cauliflower Powder 60 Mesh	Brassica Oleracea Var. Botrytis	Cauliflower Powder (Brassica oleracea var. botrytis)		P	100	1	6.94	1						China	24									T	F	T	F	T	F	F	F	F	F	T	F	T	T	T	T							298	25	61	10.5	28	0	2.2	0.4	0.2	1.2	0	0	186		551	0									0				360	5.22											3595	
Vegetables	Heart Health	Celery Extract 10:1	Apium Graveolens L.	Celery Extract 10:1 (Apium graveolens)		C,T,P,G	1	1	8.5	0.98	0.95					China	24									T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Vegetables	Heart Health	Celery Powder	Apium Graveolens	Celery Powder (Apium graveolens)		P	1	1	6.2	1						China	24									T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Vegetables	Heart Health	Celery Powder 60 Mesh	Apium Graveolens L.	Celery Powder (Apium graveolens)		C,T,P,G	1	1	5.36	1	1					China	18									T	F	T	F	T	F	F	F	F	F	T	F	T	T	T	T																																																
Vegetables	Heart Health	Celery Seed (Ground)	Apium Graveolens L.	Celery Powder (Apium Graveolens)		C,T,P,G	1	1	3.96	1	1					India	36									T		F	F		F	F		T	F	T	F	F	F	T	T																																																
Vegetables	Heart Health	Celery Seed (Whole)	Apium Graveolens L.	Celery Powder (Apium Graveolens)		C,T,P	1	1	3.96	1						India	36									T		F	F		F	F		T	F	T	F	F	F	T	T																																																
Vegetables	Heart Health	Celery Seed Powder Steam Treated	Apium Graveolens Powder	Celery Powder (Apium graveolens)		C,T,P,G	1	1	5.5	1	1					India	36										F	F	F			F			F	F	F	F	F	F	F																																																
Excipients	Filler	Cellulose	Cellulose	Cellulose		C,T,P	1	1	2	1						United States	60																																																																								
Excipients	Thickening Agent	Cellulose Gum	Calcium Carboxymethyl Cellulose	Cellulose Gum		C,T,P	1	1	18	1						India	36									F	F	F	F	F	F	F	F	F	F	F		F	F	F	F																																																
Specialty	HSN (Hair, Skin, Nails)	CeraLOK® Ceramide Powder (3% Glyucosyl Ceramides)	Oryza sativa	CeraLOK® Rice Ceramide Powder (Oryza sativa) (3% Glucosyl Ceramides, 3% Gluycosphingolipids) from Oryza sativa	CeraLOK®	C,T,P,G	1	1	1600	0.98	0.98	Anderson Advanced Ingredients				Japan	24																									Y	Y	Y	Y																																												
Herbs	General Health	Ceylon Cinnamon Powder	Cinnamomum Verum	Ceylon Cinnamonn Powder (Cinnamomum verum)		C,T,P,G	1	1	10	1	1					Sri Lanka	24											F	F			F			F		F	F	F	F	F																																																
Herbs	General Health	Ceylon Cinnamon Powder Steam Treated	Cinnamomum Zeylanicum	Ceylon Cinnamonn Powder (Cinnamomum zeylanicum)		C,T,P,G	1	1	9.8	1	1					India	36										F	F	F			F			F	F	F	F	F	F	F																																																
Mushrooms	General Health	Chaga 4:1 (Chaga Extract)	Inonotus Obliquus Fruiting Body	Chaga Extract 4:1 (Inonotus obliquus)		C,T,P,G	1	1	9	0.98	0.95					Russia	12									F	F	F	F	F		F	F	F	F	F		F	F	F	F																																																
Mushrooms	General Health	Chaga 5:1 (Chaga Extract)	Inonotus Obliquus Fruiting Body	Chaga Extract 5:1 (Inonotus obliquus)		C,T,P,G	1	1	13	0.98	0.95					Russia	12									F	F	F	F	F		F	F	F	F	F		F	F	F	F																																																
Mushrooms	General Health	Chaga Mushroom	Inonotus Obliquus	Chaga Mushroom (Inonotus obliquus)		C,T,P,G	1	1	15.5	1.98	1.98					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Mushrooms	General Health	Chaga Mushroom 50/50 Blend	Inonotus Obliquus	Chaga Mushroom (Inonotus obliquus)		C,T,P,G	1	1	82.62	0.98	0.95					United States	36										F	F	F	F		F			F	F	F	F	F	F																																																	
Mushrooms	General Health	Chaga Mushroom Extract 50% Polysaccharides (powder applications)	Inonotus Obliquus	Chaga Mushroom Extract (Inonotus obliquus) (50% Polysaccharides)		C,T,P,G	100	0.5	14	0.98	0.95					China	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F							240	0.5	88	0.8	60	0	0.5				0		19																10													
Mushrooms	General Health	Chaga Mushroom Powder	Inonotus Obliquus	Chaga Mushroom Powder (Inonotus obliquus)		C,T,P,G	1	1	14	1	1					China	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Mushrooms	General Health	Chaga Mushroom Super Extract	Inonotus Obliquus	Chaga Mushroom Extract (Inonotus oObliquus)		C,T,P,G	1	1	130	0.98	0.95					United States	60										F	F	F	F		F			F	F	F	F	F	F																																																	
Herbs	Stress	Chamomile Extract 10:1	Matricaria Chamomilla	Chamomile Extract 10:1 (Matricaria chamomilla)		C,T,P	1	1	13	0.98						China	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Stress	Chamomile Extract Powder 4:1	Anthemis Nobilis	Chamomile Extract Powder 4:1 (Anthemis nobilis)		C,T,P,G	1	1	22.3	0.98	0.95					China	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Stress	Chamomile Flower Powder	Matricaria Chamomilla	Chamomile Flower Powder (Matricaria chamomilla)		C,T,P,G	1	1	6.83	1	1					Canada	36									T		F	F		F	F		T	F	T	F	F	F	T	T																																																
Fruits	Heart Health	Cherry Fruit Extract 10:1	Prunus Avium	Cherry Fruit Extract 10:1 (Prunus avium) (Fruit)		C,T,P,G	1	1	18	0.98	0.95					China	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Fruits	Heart Health	Cherry Powder	Prunuspseudocerasus	Cherry Powder (Prunuspseudocerasus)		C,T,P,G	1	1	10.5	1	1					China	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Specialty	Fiber	Chia Seed Powder (Organic)	Salvia Hispanica	Organic Chia Seed Powder (Salvia hispanica)		C,T,P,G	100	1	8.8	1	1					United States	24	0.5	0.6							F	F	F	F	F	F	F			F	F	F	F	F	F	F	Y	Y	Y				403	32	44	11.6	0.9		11.3	1.4			0	0	3.8		1.14														867	8.7												
Collagen	Joint Health	Chicken Collagen (Powder Appliations)	Chicken Collagen	Chicken Collagen		P	100	0.85	4.5	1						China	36									F	T	F	T	F		F	T	F	F	F	T	F	F	F	F							360	90	0	0	0	0	0	0	0	0	0	0	0.5																													
Collagen	Joint Health	Chicken Collagen Type II	Chicken Collagen	Chicken Collagen		C,T,P,G	1	0.03	9.3	1	1					China	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Immune Health	Chickweed Powder	Stellaria Media	Chickweed Powder (Stellaria media)		P	1	1	22.65	1						Germany	24										F	F	F			F			F	F	F	F		F	F																																																
Herbs	Digestive Health	Chicory Root Powder Steam Treated	Cichorium Intybus Powder	Chicory Root Powder (Cichorium intybus)		P,G	1	1	4.6	1	1					India	36										F	F	F			F			F		F	F		F	F																																																
Herbs	Digestive Health	Chicory Root, Roasted Powder	Cichorium Intybus	Chicory Root Powder (Cichorium intybus)		P,G	1	1	6.12	1	1					India	36									T		F	F		F	F		T	F	T	F	F	F	T	T																																																
Herbs	Digestive Health	Chicory Root, Unroasted Powder	Cichorium Intybus	Chicory Root Powder (Cichorium intybus)		P,G	1	1	3.73	1	1					India	36									T		F	F		F	F		T	F	T	F	F	F	T	T																																																
Specialty	Heart Health	Chitosan	beta -1,4-poly-glucosamine	Chitosan (shellfish)		C,T,P,G	100	0.9	31.5	1	1					China	12									F	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F																																																
Herbs	Brain Health	Chives	Allium schoenoprasum	Chives (Allium schoenoprasum)		C,T,P,G	1	1	14.89	1	1					China	18									T	F	T	F	T	F	T	F	F	F	T	F	T	T	T	T																																																
Specialty	Heart Health	Chlorella Powder (Broken Cell)	Chlorella Vulgaris	Chlorella Powder (Chlorella vulgaris) (Broken Cell)		C,T,P,G	1	1	16.2	1	1					China	36									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Specialty	Heart Health	Chlorella Powder (Non-Broken Cell)	Chlorella Pyrenoidosa	Chlorella Powder (Chlorella pyrenoidosa) (Non-Broken Cell)		C,T,P,G	1	1	14.75	1	1					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Vitamins	Brain Health	Choline Chloride Coated USP	Choline Chloride	Choline (as choline chloride)		C,T,P,G	1	0.735	7.02	0.98	0.9					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Vitamins	Brain Health	Choline Dihyrdogen Citrate	Choline Dihyrdogen Citrate	Choline (as choline dihydrogen citrate)		C,T,P,G	1	0.98	7.8	0.98	0.9					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
